Country,Fleet,Year,Catch_tonnes
Liberia,Industrial,2018,58
Liberia,Industrial,2019,1070
Liberia,Industrial,2020,135
Liberia,Industrial,2021,316
Liberia,Industrial,2022,448
Liberia,Industrial,2023,449
Liberia,Artisanal,2018,51
Liberia,Artisanal,2019,9970
Liberia,Artisanal,2020,8383
Liberia,Artisanal,2021,11369
Liberia,Artisanal,2022,9761
Liberia,Artisanal,2023,9662
