Fleet,Species,2018,2019,2020,2021,2022,2023,Grand Total
DWF,Sardinella aurita,29750,21960,127680,274420,394620,448960,1297390
DWF,Scomberomorus tritor,1796,980,66960,98086,247800,347800,763422
DWF,Scorpaena angolensis,88835,180280,165658,765209,122318,140415,1462715
DWF,Sea Chicken,NA,1540,NA,NA,NA,9480,11020
DWF,Sea Duck,5830,NA,NA,NA,NA,NA,5830
DWF,Sea Frog,NA,NA,NA,NA,14500,51240,65740
DWF,"Sepiidae, Sepiolidae",60229,49960,94298,44428,93446,71660,414021
DWF,Shinning Fish,1232,17280,7800,NA,11200,32740,70252
DWF,Sphyraena barracuda,101.5,NA,NA,NA,NA,NA,101.5
DWF,Sphyraena guachancho,16580,26800,53700,16760,22740,53880,190460
DWF,Squalidae,66,NA,NA,NA,NA,NA,66
DWF,Stromateus fiatola,240,NA,NA,NA,NA,NA,240
DWF,Thunnus obesus,60,NA,100,4680,NA,NA,4840
DWF,Trichiurus lepturus,4350,23580,26520,10080,32580,48280,145390
DWF,Wayway,180,NA,NA,NA,NA,NA,180
DWF,White Teeth,510,NA,NA,NA,NA,NA,510
DWF,Wiewie,NA,NA,NA,NA,780,NA,780
DWF,Zipper Fish,5970,3760,260,13500,56540,24260,104290
DWF,Grand Total,1880552.54,6168756,5112714,4292087,5133931,4991043,27579083.54
